reclon,reclat,
73.7898,19.9975,NASIK
72.8777,19.076,MUMBAI
73.8567,18.5204,PUNE
73.7898,19.9975,NASHIK
22.9734,22.9734,MP
73.7898,19.9975, NASHIK
85.8245,20.2961,BHUBNESHWAR
73.7898,19.9975,NASHIK
77.1734,31.1048,SHIMLA
77.1892,32.2432,MANALI
77.1089,31.9592,KULLU
73.7898,19.9975,NASHIK
72.8777,19.076,MUMBAI
76.2711,10.8505,KERALA
74.8723,31.634,AMRITSAR
77.1892,32.2432,MANALI
72.8777,19.076,MUMBAI
74.2179,27.0238,RAJASTHAN
72.8777,19.076,MUMBAI
78.0081,27.1767,AGRA
77.1025,28.7041,DELHI
75.7873,26.9124,JAIPUR
72.5714,23.0225,AHEMDABAD
73.7898,19.9975,NASHIK
75.3412,33.2778,KASHMIR
77.5771,34.1526,LEH
73.7898,19.9975,NASHIK
73.8567,18.5204,PUNE
73.7898,19.9975,NASHIK
